producto_id;precio;valor_flete;departamento_vendedor;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto;nombre_categoria_producto
1dceebcc5f23c02ea23e16d5bedca000;65.0;52.58;SP;550.0;35.0;15.0;25.0;cds_dvds_musicais
9afaad66aca8b0c79e4f084a89c9c92b;199.0;26.67;DF;150.0;20.0;7.0;14.0;telefonia
5304ff3fa35856a156e1170a6022d34d;3.5;8.72;SP;100.0;20.0;20.0;11.0;artes
1b474c650cb9407d32a1e066937b68fd;212.9;19.37;SP;381.0;18.0;12.0;15.0;relogios_presentes
efa490145b5cc82438b6a6de691535fa;46.99;15.23;SP;500.0;30.0;10.0;11.0;informatica_acessorios
e34c56a36fdb6854b10410b776c39442;649.0;15.15;SP;3525.0;39.0;36.0;24.0;eletroportateis
38ef3053f28ce654357313ac96520552;78.99;14.32;SP;5300.0;30.0;20.0;25.0;cama_mesa_banho
eb6913790ee61d3d4d8dffcbbedea827;29.9;7.63;RJ;102.0;20.0;6.0;13.0;pet_shop
905a4d693124aa4be9299d68ee7ebd91;49.9;20.84;SP;2550.0;58.0;43.0;25.0;utilidades_domesticas
991e90b036a1162adf21d4227b751365;17.33;15.1;SP;200.0;16.0;9.0;13.0;esporte_lazer
2be252f11ad496bf9d981165c040af65;32.9;11.73;SP;1500.0;20.0;30.0;30.0;pet_shop
7564c1759c04fc0a38f2aa84f7a370ee;45.97;13.9;SP;1200.0;16.0;11.0;11.0;construcao_ferramentas_construcao
985c412b0ac92ed9d8a76bbeab6d44eb;68.9;17.22;MG;1800.0;34.0;6.0;28.0;moveis_decoracao
8049d38dde63e0ca96af1e9511d4727d;279.9;28.04;SP;3650.0;49.0;18.0;41.0;cama_mesa_banho
3ef5a1cc5f73b06dfee539cfe858429c;99.9;42.76;SP;1850.0;32.0;24.0;22.0;perfumaria
e7be446dd7fa8f165244b63de1b85802;69.9;13.51;SP;1150.0;18.0;18.0;18.0;alimentos_bebidas
3a4c258c71b027dfe480fdb608e2d9a1;84.9;17.84;SP;1400.0;22.0;12.0;33.0;fashion_calcados
cc59cf334461196527f790e5c9191ece;148.0;17.48;MG;140.0;19.0;12.0;15.0;pet_shop
9d274c8de79fabb3f4c65b64b9feb02c;269.9;14.33;SP;7800.0;40.0;15.0;35.0;cama_mesa_banho
4ce6c1b5cfe26c9f980438fc1c810f8d;255.0;24.37;SP;6200.0;76.0;28.0;18.0;construcao_ferramentas_jardim
3dabf82e264128dda5088dc804e09cc8;100.0;19.67;MT;450.0;30.0;9.0;30.0;cool_stuff
c7e02747ef9366a4fb7f4ac4fd261c36;99.99;13.72;SP;900.0;35.0;10.0;19.0;informatica_acessorios
8700d9f84733dce4550659a27300c5e5;29.9;9.34;SP;1350.0;30.0;5.0;22.0;informatica_acessorios
9451e630d725c4bb7a5a206b48b99486;39.5;11.85;SP;350.0;31.0;10.0;12.0;bebes
acd427ee119d5c71c7a85ae488cb0a6a;38.0;16.79;SP;200.0;16.0;2.0;11.0;fashion_bolsas_e_acessorios
bc0bfbb69aec0f46d1058bfeb5b973b3;98.0;12.19;SP;300.0;22.0;8.0;28.0;brinquedos
0129d1e9b29d3fe6833cc922374cd252;16.9;22.06;MG;100.0;20.0;3.0;15.0;consoles_games
93399fcfc1e2c0a01ea544754fddeed0;38.99;15.1;SP;200.0;19.0;3.0;11.0;telefonia
2de5c479fb0c490a0f2a2f3ab36e71b6;174.99;19.03;SP;1050.0;22.0;21.0;16.0;ferramentas_jardim
eef7436637ac87cad6bf5108284c3413;199.0;12.89;SP;342.0;18.0;12.0;16.0;relogios_presentes
cf5fb18f3ac3f373759295cc8ba3e2c3;100.99;15.02;SP;1650.0;26.0;18.0;11.0;beleza_saude
005030ef108f58b46b78116f754d8d38;13.99;7.78;SP;50.0;16.0;5.0;11.0;perfumaria
80665d04b7d8216835a0ad52625c7039;119.0;16.59;SP;900.0;38.0;30.0;28.0;papelaria
f9cce45ac1d0fa42141d4dfb90bc3b14;56.41;16.83;MG;300.0;18.0;9.0;14.0;moveis_decoracao
351eb84de99fb5e43d8706bc3f41fbff;12.99;7.78;SP;300.0;35.0;10.0;25.0;moveis_decoracao
c60375672af95c47a105065af56ba16e;45.9;15.98;SP;2100.0;25.0;25.0;25.0;moveis_decoracao
9e29dd5d33b2745d4b80ee88da614632;89.0;13.64;SP;5850.0;60.0;20.0;29.0;papelaria
f5678a0bf5120c7471890a28e7ec5189;180.0;18.51;SP;2000.0;31.0;36.0;31.0;esporte_lazer
b66270a5d5b3a8585f8314b2f14420fb;49.9;14.1;SP;235.0;19.0;14.0;17.0;beleza_saude
2d0090282bd77e1ae0f6336ba500facf;30.0;14.1;SP;150.0;17.0;9.0;12.0;beleza_saude
c351fada6ffa67ee3876b1cc568a90b0;49.99;11.17;SP;300.0;20.0;5.0;20.0;esporte_lazer
057df564fda79ad8fa5e1928dfbe3e8c;11.99;1.28;SP;300.0;25.0;10.0;20.0;cool_stuff
b60856ce32d90658dbf99b9485327c25;9.0;17.63;SP;150.0;25.0;7.0;16.0;eletronicos
35ffbac108d291eae9a8df90f92f6fad;55.5;11.86;SP;950.0;62.0;17.0;25.0;eletrodomesticos
62644f19deb898e43ebdcd29ff3d9361;231.7;16.38;SP;900.0;28.0;20.0;20.0;cool_stuff
fc5dd987f12a7b823a76a44aa1ba88f6;29.45;13.79;MG;250.0;21.0;3.0;16.0;
40639ced9d62eca7f4637b1be4ccdf44;79.9;12.06;SP;500.0;17.0;10.0;12.0;brinquedos
ed6d2fe9a24cfdfd0f4c40094db5145b;122.5;18.11;RJ;1000.0;11.0;15.0;20.0;livros_interesse_geral
edd20240c53344e2b0706e2d2b09eae3;79.59;21.16;SC;5000.0;67.0;20.0;23.0;automotivo
777d2e438a1b645f3aec9bd57e92672c;69.9;26.75;SP;950.0;45.0;15.0;35.0;cama_mesa_banho
27672da99215b426dc0ced05731bccc6;79.0;15.99;SP;200.0;16.0;2.0;11.0;fashion_bolsas_e_acessorios
e0d64dcfaa3b6db5c54ca298ae101d05;151.9;27.14;SP;4338.0;17.0;12.0;14.0;relogios_presentes
9fd9505539e1c67c13e4ee824fc1e1cc;34.9;11.15;SP;2250.0;26.0;26.0;26.0;beleza_saude
1175dc374bce5c9d93c4d4281d8d85d7;79.0;16.31;MG;400.0;18.0;18.0;18.0;perfumaria
e2b02dadb01104e3f9f588311b3f2612;109.9;12.9;PR;188.0;16.0;16.0;12.0;informatica_acessorios
24c66f106f642621e524291a895c9032;149.9;29.45;RJ;792.0;19.0;14.0;16.0;beleza_saude
0df595995d2f55005a3de2b62ca97189;34.3;11.85;SP;300.0;16.0;2.0;11.0;fashion_bolsas_e_acessorios
08a58dc963320d6073623382b9ceb920;129.0;8.32;RJ;400.0;17.0;7.0;13.0;informatica_acessorios
4c1bbc12438daec98a77243c2bf7a3ba;146.99;82.35;SP;15475.0;81.0;7.0;83.0;moveis_escritorio
a7e03f1bcebad9ca43f8f4dbda9bc1b6;130.0;15.79;MG;567.0;18.0;9.0;13.0;beleza_saude
6a1a04054158fe995e1688d8f79605b2;59.9;16.18;PR;1650.0;40.0;45.0;25.0;esporte_lazer
65d5bf9ec18c2fd1bd7c9ff9b935a320;76.2;7.4;SP;538.0;24.0;18.0;19.0;beleza_saude
177a8cac0667c535478a8fdfd7d42191;12.99;11.85;SP;200.0;20.0;10.0;20.0;brinquedos
57e7f9befd08f9e14bc4545abf760d0e;72.0;19.69;RJ;700.0;25.0;11.0;11.0;ferramentas_jardim
4945f34d8df378693f6b84c437b414dc;199.0;27.71;PR;4150.0;50.0;15.0;40.0;moveis_decoracao
5626de2494437b1b23f9f6ecebc25faa;98.99;21.18;SP;1250.0;35.0;20.0;30.0;cama_mesa_banho
027cdd14a677a5834bc67a9789db5021;99.9;18.13;RJ;341.0;20.0;18.0;16.0;perfumaria
b7f980dbd49d4059a8c4acbada394e4b;148.0;8.29;SP;400.0;16.0;7.0;11.0;
6e9d34c0cf438c5a29a9a0232ffe54b6;220.0;14.84;SP;4000.0;25.0;27.0;29.0;beleza_saude
1bfe62f326ac7bec0f5a83c10cfff228;45.0;16.11;SP;5700.0;39.0;30.0;29.0;brinquedos
46c57742071cc875558cc230df1aa9a4;29.9;15.1;SC;575.0;23.0;5.0;21.0;relogios_presentes
23227b07fc69250d2fa4be6602011aea;64.9;22.73;DF;1250.0;45.0;10.0;15.0;cama_mesa_banho
3f14d740544f37ece8a9e7bc8349797e;86.0;13.72;PR;321.0;19.0;14.0;13.0;informatica_acessorios
96f96ac6ce04504599e212a3d826361e;52.0;7.84;SP;3700.0;43.0;13.0;33.0;utilidades_domesticas
ba74c6b75d2ad7503175809688d5a03c;178.99;13.69;SP;292.0;17.0;8.0;12.0;relogios_presentes
5379d3a11f5e58c31f2de3ea3330777b;219.0;16.28;SP;288.0;16.0;9.0;13.0;relogios_presentes
c64343b6e8d5be28f6564c6959cdfa7c;194.9;36.35;SP;3500.0;60.0;40.0;42.0;moveis_decoracao
642a40d4d73b4b2604968937de13634a;12.9;16.05;SP;250.0;40.0;4.0;30.0;cama_mesa_banho
2b7fd8137a4b6427e3547cd05d3aca49;16.5;15.23;SP;175.0;22.0;11.0;16.0;eletronicos
207bb2d8180c2c7654872f6fab96e40e;19.9;24.35;SP;100.0;19.0;3.0;11.0;telefonia
66a5ffd1047bfd6230ac214e03257bae;169.76;12.69;SP;2700.0;55.0;10.0;50.0;
58ebe34ff100ca78de11d954b6bede1d;269.9;11.02;RS;750.0;16.0;8.0;16.0;telefonia
39849897ee574a067adeb72b6c8e84fa;27.9;22.06;SP;320.0;16.0;13.0;18.0;ferramentas_jardim
8c832a513b94b1ded5579b054615dc20;148.0;12.54;SP;250.0;18.0;8.0;14.0;esporte_lazer
656e0eca68dcecf6a31b8ececfabe3e8;87.0;12.74;PR;173.0;18.0;13.0;12.0;informatica_acessorios
f7b39dca4a425dcfd4a8b0b0aac4b7c0;59.9;12.76;SP;600.0;18.0;19.0;18.0;utilidades_domesticas
045da764883d50dc071cc70c81226cbc;239.0;23.6;MG;213.0;18.0;10.0;19.0;relogios_presentes
44f90f085c7a825863cbf867990e1513;26.14;9.36;SP;517.0;25.0;13.0;16.0;beleza_saude
eab4c9985a59caadd3c0f14448eaeac3;22.0;14.22;SC;650.0;20.0;30.0;20.0;esporte_lazer
15bef25125df6626665f702257bd1e79;155.0;14.3;RJ;150.0;16.0;6.0;11.0;beleza_saude
27fdfad2c6a8f91606eb41ea396785c6;13.2;12.79;SP;200.0;25.0;7.0;16.0;eletronicos
44523a5e61f0a718c2231922b8856ad7;318.0;15.81;SP;286.0;18.0;11.0;14.0;relogios_presentes
5b17fc881ead1246f09b897c7027ae83;51.9;18.24;SP;50.0;24.0;2.0;17.0;automotivo
9defd1ffa1cecec71bc4a269ee97938d;49.9;11.85;SP;400.0;50.0;3.0;25.0;moveis_decoracao
e857bc338b00787f1a6c91938412823b;249.0;30.94;RS;300.0;18.0;6.0;20.0;ferramentas_jardim
05f581382fca988fec41f4a3de0e0fda;25.9;14.1;SP;100.0;16.0;16.0;16.0;
87c622f009c352a3c10cb90169b2a21b;31.9;11.85;SP;300.0;40.0;4.0;30.0;cama_mesa_banho
f54cd09fa7e3c0f502187f200eb84084;139.34;12.0;SP;2000.0;30.0;12.0;16.0;beleza_saude
ebcf9e2edf1b5ef61117102401561d4a;16.99;14.1;SP;150.0;16.0;4.0;13.0;telefonia
2022aa748485ad1226fc9519906cfcf1;38.9;22.2;SP;355.0;18.0;17.0;14.0;consoles_games
083d6108def7421be9778dd0ecd11fa6;299.99;10.91;SP;2000.0;35.0;10.0;82.0;instrumentos_musicais
97ca99a3e712143b9cf17e31bf8f3367;110.0;15.52;SP;275.0;19.0;9.0;27.0;fashion_underwear_e_moda_praia
96d1c06692244e2fed6e1f9aa9552770;62.0;16.19;SP;625.0;70.0;15.0;50.0;cama_mesa_banho
09b72772aef83d207e149857fc22dbd3;219.9;18.28;SP;1500.0;20.0;50.0;40.0;papelaria
a19b6951c75da43aad691622dd2f6abe;35.0;19.44;SP;650.0;20.0;35.0;20.0;moveis_decoracao
67817dbbb200f7f623c75ac106b07808;49.0;12.79;SP;200.0;16.0;2.0;11.0;relogios_presentes
457cd0a99cfa977993e4eb6d98d95abb;39.99;7.54;SP;350.0;17.0;4.0;12.0;telefonia
6f3b5b605d91b7439c5e3f5a8dffeea7;162.9;13.8;SP;335.0;17.0;11.0;16.0;relogios_presentes
a5c9c1711f61d2b63cf996b4928092ed;69.99;23.29;RJ;1050.0;24.0;29.0;23.0;brinquedos
417c36fe8603e10f20aba1359eb8e2f4;89.0;18.72;GO;500.0;30.0;19.0;17.0;eletroportateis
efd7af8312533d58ccb5ac26304dd3d5;19.69;7.39;SP;220.0;16.0;10.0;13.0;automotivo
d3e1006ba3735c0d44160026b6e0ced3;108.9;13.42;SP;1850.0;19.0;16.0;17.0;automotivo
83e5adb51c0d54eff80057f064f808d2;164.9;14.88;PR;817.0;22.0;22.0;25.0;consoles_games
ef1c671d636510846d72e7aa3af1e0a5;23.99;11.85;SP;300.0;17.0;4.0;12.0;telefonia
dd2f30521d540d49a7f2b94cbc99a4d1;59.9;18.0;PR;1150.0;19.0;22.0;19.0;utilidades_domesticas
60495adb1f1a49c8aea75e5e56a47a48;92.9;11.7;MG;150.0;19.0;7.0;12.0;beleza_saude
34dabb8af33b3756cf72df05fb327011;99.0;8.76;SP;300.0;26.0;10.0;26.0;tablets_impressao_imagem
9ea1152d6d52dc57ab2ea49aa626adc1;54.0;9.44;SP;1067.0;22.0;19.0;19.0;beleza_saude
ecac086eca2f806295b1f43b4f6ca119;54.9;14.73;SP;600.0;60.0;60.0;15.0;fashion_roupa_feminina
e932008cf0ea7c93a077dd8d7e5f49eb;190.0;34.87;SP;7350.0;105.0;10.0;40.0;climatizacao
e60e632d39df1e129df5b7f0245716f7;75.0;17.78;SP;1950.0;96.0;5.0;45.0;cool_stuff
fe0caf78250528cec991a2462326f574;72.69;19.75;MG;1900.0;26.0;26.0;25.0;utilidades_domesticas
4a8c87facc0a20b726d5e1112ff3069f;119.4;17.09;SP;1000.0;40.0;30.0;30.0;bebes
0a9a9c25c5a06532d1766e00db833a7f;14.99;7.87;SP;100.0;16.0;3.0;15.0;beleza_saude
00e41fb1706dc56cc3bbdd2c1d6df362;24.9;11.85;SP;500.0;40.0;15.0;40.0;moveis_decoracao
3b0f7951038b105522c2d566b54421f7;29.98;15.1;SP;175.0;17.0;6.0;13.0;telefonia
6a7410f88fe57e3fd4e353cfc04e7b31;56.0;13.41;SP;1350.0;35.0;26.0;25.0;brinquedos
ae7d8348fbef50928a680454fffbca00;69.9;19.95;RJ;304.0;27.0;17.0;27.0;esporte_lazer
466d263ce8b7bd275003ee2104428127;25.99;14.1;SP;150.0;18.0;4.0;16.0;telefonia
3a05a947f28cf46d789adedc107d7595;110.0;29.81;RS;3450.0;16.0;15.0;20.0;esporte_lazer
51ce083cd2b9078656a94655ab45b8a4;199.9;25.11;SP;2450.0;41.0;8.0;36.0;cama_mesa_banho
e237317be46690f8352f2a4f9daaf6d5;55.55;15.46;PR;1095.0;23.0;20.0;20.0;esporte_lazer
53b36df67ebb7c41585e8d54d6772e08;110.0;0.0;SP;584.0;16.0;11.0;13.0;relogios_presentes
0e0dec1c30232f86f5076622e9f623b6;599.99;47.78;RS;9850.0;20.0;40.0;40.0;cama_mesa_banho
fbce4c4cb307679d89a3bf3d3bb353b9;149.0;24.26;SC;6550.0;30.0;30.0;30.0;cama_mesa_banho
211293b50935ced8d4370f552c482d74;33.0;9.27;SP;226.0;18.0;16.0;16.0;bebidas
19bdfd05824c29bf495c9f5408c26635;39.9;9.34;SP;1400.0;40.0;15.0;40.0;
cf2e64deaefaf68804258d3deef54639;249.0;13.7;SP;575.0;25.0;25.0;25.0;informatica_acessorios
9865c67a74684715521d1e70226cce0b;169.8;8.45;SP;290.0;19.0;13.0;13.0;relogios_presentes
036bcd084feae22f3a997f5080ec30df;6.9;8.72;PR;200.0;16.0;2.0;11.0;moveis_quarto
e117ca2a90cfd40b93450b0b60f834e4;113.0;23.0;SP;1800.0;45.0;10.0;34.0;cama_mesa_banho
c3b01b2e86b6fef991c30e470d191d44;21.35;17.78;MG;6600.0;23.0;4.0;23.0;esporte_lazer
0a783d7ce18a37749c3a059cf829564b;212.0;12.98;SP;200.0;18.0;9.0;14.0;beleza_saude
fca32487845a373fbc6c334ac5bf663c;19.9;15.1;SP;150.0;19.0;4.0;11.0;telefonia
71a7800a633691de8ecdd17463335e2e;56.9;35.72;SP;550.0;20.0;16.0;30.0;construcao_ferramentas_jardim
c4fe6560e914f2830b4a189e91202c29;43.9;15.1;SP;400.0;20.0;50.0;50.0;esporte_lazer
89d49f6d10ff422902b2c2cb05da7f1c;49.9;12.93;SP;850.0;18.0;16.0;18.0;informatica_acessorios
ca38c039b717207dec906f4fa9a21db7;184.99;13.63;SP;538.0;23.0;12.0;34.0;beleza_saude
d517de1f2a8247cc1ea2951c4039ae20;76.99;11.74;SP;992.0;34.0;13.0;31.0;brinquedos
e5e8d1321d9ce88718c1ab0c7308931b;492.02;22.14;SP;300.0;19.0;9.0;15.0;relogios_presentes
5131368354b35ed441caa8ca27244f16;97.49;12.64;SP;1383.0;30.0;27.0;28.0;beleza_saude
fec565c4e3ad965c73fb1a21bb809257;114.9;13.82;SP;1400.0;34.0;7.0;32.0;cama_mesa_banho
f4a38926843e01497a3f63a5d5740c72;13.65;14.1;SP;150.0;22.0;13.0;17.0;eletronicos
54f8f27ac6543c074ae5c4e7759b054a;28.9;11.85;SP;200.0;16.0;7.0;11.0;pet_shop
4b9e7007ca824be245d93214d52e993a;74.9;15.28;MG;307.0;27.0;27.0;29.0;ferramentas_jardim
14dffa241a078aeaebaef48a49e807ca;64.9;15.75;SP;250.0;16.0;7.0;11.0;bebes
9d3a38202f455fd1c45c8f4929bb373c;159.9;31.99;MS;2750.0;32.0;3.0;26.0;automotivo
a73f8a8294cb767f0823d21c2b1dba6f;48.9;11.85;SP;800.0;25.0;55.0;35.0;papelaria
20a3c5e7a7b340a10612559c2a03f68c;58.9;35.76;SP;6325.0;56.0;11.0;32.0;automotivo
b86a41241c8b868c080b433563dc9223;43.99;13.89;SP;800.0;30.0;3.0;24.0;cama_mesa_banho
93ad397044e27dfead96813e2f895acd;45.0;15.1;SC;400.0;16.0;10.0;17.0;relogios_presentes
77255774965600c1ae00627edb86b9d1;26.99;14.1;SP;50.0;19.0;3.0;11.0;telefonia
612c7f49d1026f7beded75464b574f81;35.49;7.51;SP;200.0;28.0;11.0;14.0;beleza_saude
3225c54bb2785c33f49f50398fcdb88c;259.0;19.69;SP;269.0;17.0;11.0;13.0;relogios_presentes
515ba7ccc6abbd1c0f5016704a0184e2;64.0;23.03;MG;1400.0;40.0;20.0;30.0;pet_shop
5d096ee78b3150e1dcab797e13884824;64.99;11.73;SP;1600.0;25.0;25.0;25.0;utilidades_domesticas
2f26beac326b9a10741b8c59f00a59ab;189.94;108.36;SP;11767.0;102.0;48.0;12.0;bebes
ce374bee07166a6ac0a9bb103c8046f0;149.0;18.32;PR;200.0;20.0;5.0;12.0;telefonia
df0c26d7ddb998e2517658a55e46e48a;1561.0;39.51;RJ;14400.0;55.0;15.0;36.0;eletrodomesticos_2
b80d1191f28486e54df2e4c6bdeac10d;49.99;15.1;SP;900.0;33.0;9.0;38.0;cama_mesa_banho
ec9f54e0036a28f74cc88439e4f9168b;35.99;19.44;SP;1150.0;33.0;7.0;33.0;eletrodomesticos
b1b787a4d7563b9e375ee8af5bee4a74;74.9;16.15;SP;2300.0;27.0;27.0;20.0;beleza_saude
5a6e53c3b4e8684b13388d6aa4afdf12;15.99;20.8;MG;200.0;19.0;9.0;12.0;utilidades_domesticas
bc4cd4da98dd128c39bf0b8c2674032f;1200.0;20.0;BA;2650.0;16.0;31.0;39.0;pcs
0453f63a85b66c3950381599dbbfb2ec;34.7;15.1;MG;231.0;12.0;12.0;10.0;esporte_lazer
2a0d1fb3e64019c7cf0e75d1cf336277;299.99;14.53;MG;8700.0;80.0;13.0;50.0;moveis_sala
f7b0ee6d481a76a7bed4f0a7d574a6e2;199.9;16.16;PR;700.0;25.0;20.0;20.0;esporte_lazer
d392a00a8d96150a649853d20d63e8ba;138.0;13.31;SP;1500.0;22.0;27.0;22.0;esporte_lazer
0152f69b6cf919bcdaf117aa8c43e5a2;17.9;12.79;SP;250.0;40.0;4.0;30.0;cama_mesa_banho
3c883b9d3fd2d0ce448d4136349dc0a4;55.0;23.19;SP;550.0;23.0;15.0;23.0;cama_mesa_banho
abb9d7140478c19fd773dc14e8071abd;12.99;15.56;SP;200.0;20.0;13.0;20.0;cool_stuff
54004861371c893cb5a5e2b563ef72c6;39.4;8.82;SP;1550.0;46.0;11.0;12.0;eletrodomesticos
b252c77ac54ea46b4b2b884b8fba074d;159.9;18.03;SP;2700.0;32.0;32.0;16.0;climatizacao
306f08b921e16b00a795166ea8edcdee;64.9;13.47;SP;2200.0;30.0;30.0;40.0;brinquedos
79cb68c2ccd94a4da825b9e33adf0697;39.99;11.85;SP;100.0;17.0;3.0;12.0;fashion_bolsas_e_acessorios
096e14458100c2b6d10f72d69f80cf34;269.99;14.72;RJ;2750.0;26.0;42.0;38.0;brinquedos
262573ecc3b4b8c70a61fbc90671efa4;48.0;7.78;SP;250.0;20.0;9.0;11.0;fashion_bolsas_e_acessorios
cf857bce01d442bb8631a548a4432def;129.99;11.93;SP;1533.0;39.0;13.0;32.0;bebes
d487d19bd9ea9420465fc556ce17ef4e;80.0;14.65;SP;1300.0;50.0;5.0;50.0;cama_mesa_banho
9a2e821cfc513051382e27606ab3325c;79.0;23.13;SP;6000.0;60.0;20.0;29.0;papelaria
3b473a6b1c280e0345e876648a61a032;200.0;29.8;SP;1200.0;20.0;20.0;20.0;construcao_ferramentas_seguranca
a81fc5e66120ebdb295873f74a45c5b7;124.0;15.17;MG;2350.0;33.0;8.0;33.0;cama_mesa_banho
dbb67791e405873b259e4656bf971246;82.0;17.01;PR;207.0;17.0;12.0;13.0;informatica_acessorios
a9e0a3a894f4bf7844830c090853c3e1;15.9;15.23;SP;375.0;18.0;10.0;16.0;telefonia
a0ac0067a7a7f7610b49cc1d211de28c;44.99;18.23;SP;225.0;26.0;15.0;25.0;brinquedos
386703f26f328414fe118e10a5d92675;27.99;14.1;SP;300.0;17.0;4.0;12.0;telefonia
0f91b6a95a57a43203a9b17de98960d9;134.9;14.69;RJ;390.0;19.0;12.0;17.0;beleza_saude
02f8dd9b448d3ec2c73e65a22da1121c;148.9;19.14;SP;250.0;18.0;9.0;17.0;relogios_presentes
446cf7e594fa3103f5d26069356b55e2;47.9;2.98;SP;800.0;16.0;10.0;16.0;cama_mesa_banho
c68fdf078b3ec0596bbc5c7ac409e458;31.9;16.11;SP;450.0;40.0;4.0;30.0;cama_mesa_banho
9b53e2487de4651c1610938e71957638;19.9;8.3;SP;367.0;24.0;24.0;24.0;utilidades_domesticas
93c902b021a9e594f658ab1b0351602a;103.9;23.53;SP;1250.0;26.0;10.0;18.0;eletronicos
bd66403f5f11696c897a825d5235697f;221.99;13.05;SP;274.0;18.0;12.0;15.0;esporte_lazer
c9c6fde711572c1ad99ca12728c6af00;29.99;15.1;SP;150.0;17.0;8.0;14.0;telefonia
1a7d1ce0dddfef9f6f2ed280798fd9bb;79.99;26.18;MG;200.0;18.0;2.0;11.0;consoles_games
f1fe595ee7ef768b41bd9b246d13432d;99.9;18.94;PR;1900.0;17.0;13.0;31.0;ferramentas_jardim
efdd9c83779dc22fdcbfdce64ffef671;63.33;2.21;GO;178.0;17.0;9.0;13.0;cool_stuff
d66d9dba1b0d3aab8f3b6b02e4cd3f8e;194.87;67.03;SP;23100.0;33.0;70.0;44.0;utilidades_domesticas
a92930c327948861c015c919a0bcb4a8;78.0;7.67;SP;250.0;16.0;2.0;20.0;relogios_presentes
b71c0cacf053d9d8f92eb5965d8bd00c;29.9;12.27;SP;300.0;31.0;10.0;11.0;bebes
8d578db76b524efa43a961df4ac2d7d9;129.9;62.71;MS;2275.0;33.0;7.0;26.0;automotivo
419538c5c0c21d892928586bee1ea16a;174.9;16.33;SP;2900.0;35.0;9.0;34.0;cama_mesa_banho
3bdc89e963c6651b8af38ede485cc82b;262.5;115.49;SP;25850.0;38.0;79.0;49.0;utilidades_domesticas
077c1ba3f2e5e4145faf0a12f35ec1d5;62.9;8.88;SP;1050.0;30.0;30.0;30.0;automotivo
3932e37f1f658768ac53fbe680f145bc;51.9;13.02;SP;1100.0;40.0;10.0;30.0;cama_mesa_banho
610e045d4ebcfde8d0c8991e8b1f39bb;83.8;15.47;RJ;400.0;16.0;10.0;11.0;esporte_lazer
66389c9df136a25c8f131757ce3a6967;3.99;12.79;SP;175.0;35.0;14.0;16.0;construcao_ferramentas_construcao
6c69e1be6be2ab7ad5a9e4fe8a763b7f;339.0;17.12;SC;500.0;16.0;16.0;20.0;perfumaria
03e931f387c2dd5b006aecdb12515b2e;53.0;13.97;SP;650.0;16.0;10.0;16.0;cama_mesa_banho
026311ea0b72ef8c80ebf91efd36b499;13.9;7.78;SP;300.0;18.0;8.0;24.0;bebes
0152f69b6cf919bcdaf117aa8c43e5a2;13.9;8.52;SP;250.0;40.0;4.0;30.0;cama_mesa_banho
cd66fdcc09793a54b109fee14eee72cd;129.05;14.98;PR;600.0;16.0;17.0;16.0;moveis_decoracao
9cafcacd991a72be85d1970013b8204e;55.0;19.36;SP;850.0;48.0;16.0;35.0;relogios_presentes
46444262c3cb20869d7f96985fc0b08a;388.9;42.06;SP;4750.0;102.0;10.0;22.0;esporte_lazer
